Symbol,Close,Date,High,Low,Month,Open,Volume,Sector
ADANIENT,3091.1,30-01-2024 05:30,3129.9,3020.9,2024-01,3081,3115506,Energy
ADANIENT,3142,31-01-2024 05:30,3151.7,3072.4,2024-01,3092.75,2671051,Energy
ADANIENT,3153.5,01-02-2024 05:30,3236.95,3083.05,2024-02,3156.9,4686595,Energy
ADANIENT,3157.45,02-02-2024 05:30,3208.5,3140,2024-02,3184.95,2708695,Energy
ADANIENT,3173.45,05-02-2024 05:30,3229.4,3151.45,2024-02,3170,2191195,Energy
ADANIENT,3203.75,06-02-2024 05:30,3228.2,3160,2024-02,3183.9,2078891,Energy
ADANIENT,3229.85,07-02-2024 05:30,3277.95,3210,2024-02,3220.05,2095911,Energy
ADANIENT,3168.6,08-02-2024 05:30,3245.6,3146.1,2024-02,3245.6,1679004,Energy
ADANIENT,3215.2,09-02-2024 05:30,3224.95,3121.2,2024-02,3184.45,1572789,Energy
ADANIENT,3169.75,12-02-2024 05:30,3241.95,3160,2024-02,3229,1083138,Energy
ADANIENT,3178.45,13-02-2024 05:30,3194,3092.05,2024-02,3180,1225207,Energy
ADANIENT,3207.2,14-02-2024 05:30,3255.25,3169.85,2024-02,3184,1741264,Energy
ADANIENT,3193.8,15-02-2024 05:30,3252.75,3184.05,2024-02,3219.85,2035204,Energy
ADANIENT,3223.6,16-02-2024 05:30,3252.3,3192.65,2024-02,3214,2193673,Energy
ADANIENT,3258.8,19-02-2024 05:30,3308.6,3235.8,2024-02,3240,1779444,Energy
ADANIENT,3228.6,20-02-2024 05:30,3269.8,3210.15,2024-02,3267,1467630,Energy
ADANIENT,3223.2,21-02-2024 05:30,3300,3205,2024-02,3238,1657021,Energy
ADANIENT,3263.05,22-02-2024 05:30,3274,3210.5,2024-02,3239,1138722,Energy
ADANIENT,3273.3,23-02-2024 05:30,3319.95,3225.1,2024-02,3263.05,1975035,Energy
ADANIENT,3327.75,26-02-2024 05:30,3344,3263,2024-02,3272,1695378,Energy
ADANIENT,3302.3,27-02-2024 05:30,3340,3273,2024-02,3339,1125570,Energy
ADANIENT,3219,28-02-2024 05:30,3318.8,3207.5,2024-02,3309.2,1358879,Energy
ADANIENT,3285.4,29-02-2024 05:30,3304.75,3205.35,2024-02,3220.05,1352988,Energy
ADANIENT,3318.75,01-03-2024 05:30,3346,3281.8,2024-03,3309.85,1161067,Energy
ADANIENT,3333.25,02-03-2024 05:30,3348.7,3321.5,2024-03,3332,119511,Energy
ADANIENT,3317.15,04-03-2024 05:30,3350,3310.05,2024-03,3335,1061244,Energy
ADANIENT,3310.2,05-03-2024 05:30,3334,3295.05,2024-03,3325.3,1190416,Energy
ADANIENT,3233.95,06-03-2024 05:30,3323,3183.15,2024-03,3323,1935203,Energy
ADANIENT,3226.55,07-03-2024 05:30,3262,3220,2024-03,3240,856328,Energy
ADANIENT,3207.35,11-03-2024 05:30,3259,3200,2024-03,3241.2,738851,Energy
ADANIENT,3122.5,12-03-2024 05:30,3222.7,3111,2024-03,3207.35,1199487,Energy
ADANIENT,2906.2,13-03-2024 05:30,3138.05,2850.15,2024-03,3125,3407040,Energy
ADANIENT,3087.45,14-03-2024 05:30,3101.2,2880,2024-03,2927.45,3759100,Energy
ADANIENT,3132.2,15-03-2024 05:30,3143.4,3061.25,2024-03,3111,2199094,Energy
ADANIENT,3111.75,18-03-2024 05:30,3124,2976.05,2024-03,3050.1,3042515,Energy
ADANIENT,3052.7,19-03-2024 05:30,3164.8,3041.85,2024-03,3126,1460452,Energy
ADANIENT,3051.45,20-03-2024 05:30,3083.2,3021.1,2024-03,3075,966481,Energy
ADANIENT,3066.5,21-03-2024 05:30,3107.1,3059.6,2024-03,3089.55,1175751,Energy
ADANIENT,3107.7,22-03-2024 05:30,3128.95,3048.05,2024-03,3066.55,951557,Energy
ADANIENT,3109.95,26-03-2024 05:30,3171.95,3089.1,2024-03,3100.5,937103,Energy
ADANIENT,3122.1,27-03-2024 05:30,3138.45,3106.25,2024-03,3115,900231,Energy
ADANIENT,3197.1,28-03-2024 05:30,3237,3096.75,2024-03,3134,2327053,Energy
ADANIENT,3252.1,01-04-2024 05:30,3291.8,3207.85,2024-04,3230.2,1292646,Energy
